file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold
"1000003","7.9661","0.0007","9.205","0.001","7.3198","0.0008","90","","102.104","0.008","90","","524.8","0.9","","","","","","","","","","","","3","P 1 21/c 1","-P 2ybc","14","Anhydrous acid strontium oxalate","","","- C3 O6 Sr -","- C3 O6 Sr -","- C12 O24 Sr4 -","4","1","","G. Vanhoyland; M.K. Van Bael; J. Mullens; L.C. Van Poucke","Structure determination of anhydrous acid strontium oxalate by conventional X-ray powder diffraction","Powder Diffraction","2001","16","4","224","226","10.1154/1.1401199","","","","","","","","","","","","","","","","","","","","","has coordinates","208206","2020-10-21","18:00:00",""
"1000004","9.899","0.005","11.729","0.005","12.259","0.005","103.442","0.005","96.291","0.005","95.56","0.005","1364.9","1.1","293","2","293","2","","","","","","","","5","P -1","-P 1","2","","","","- C29 H30 Cu I P2 -","- C29 H30 Cu I P2 -","- C58 H60 Cu2 I2 P4 -","2","1","","","","","","","","","","","","","0.7107","MoKα","","0.0499","0.0469","","","0.132","0.1372","","","","","","1.16","","","","has coordinates","130149","2020-10-21","18:00:00",""
"1000006","10.93","0.0009","12.7162","0.0011","15.7085","0.0013","90","","90","","90","","2183.3","0.3","150","2","150","2","","","","","","","","5","P 21 21 21","P 2ac 2ab","19","tetracycline hydrochloride","","","- C22 H25 Cl N2 O8 -","- C22 H25 Cl N2 O8 -","- C88 H100 Cl4 N8 O32 -","4","1","","Armel Le Bail","","Personal Communication to COD","","","","","","","","","0.6883","synchrotron","","0.0633","0.0502","","","0.1116","0.1161","","","","","","0.969","","","","has coordinates","176428","2020-10-21","18:00:00",""
"1000007","9.7397","","8.9174","","5.2503","","90","","105.866","","90","","438.631","","","","","","","","100","","","","DeKalb, New York","4","C 1 2/c 1","-C 2yc","15","","","Diopside","- Ca Mg O6 Si2 -","- Ca4 Mg4 O24 Si8 -","- Ca4 Mg4 O24 Si8 -","","","","Thompson, R. M.; Downs, R. T.","The crystal structure of diopside at pressure to 10 GPa Sample: P = 1 atm","American Mineralogist","2008","93","","177","186","10.2138/am.2008.2684","","","","","","","","","","","","","","","","","","","","","has coordinates","282068","2023-03-26","10:11:39",""
"1000008","9.7377","","8.9151","","5.2494","","90","","105.851","","90","","438.386","","","","","","","","130000","","","","DeKalb, New York","4","C 1 2/c 1","-C 2yc","15","","","Diopside","- Ca Mg O6 Si2 -","- Ca4 Mg4 O24 Si8 -","- Ca4 Mg4 O24 Si8 -","","","","Thompson, R. M.; Downs, R. T.","The crystal structure of diopside at pressure to 10 GPa Sample: P = 0.13 GPa","American Mineralogist","2008","93","","177","186","10.2138/am.2008.2684","","","","","","","","","","","","","","","","","","","","","has coordinates","282068","2023-03-26","10:11:41",""
"1000009","9.6808","","8.8488","","5.218","","90","","105.606","","90","","430.513","","","","","","","","2320000","","","","DeKalb, New York","4","C 1 2/c 1","-C 2yc","15","","","Diopside","- Ca Mg O6 Si2 -","- Ca4 Mg4 O24 Si8 -","- Ca4 Mg4 O24 Si8 -","","","","Thompson, R. M.; Downs, R. T.","The crystal structure of diopside at pressure to 10 GPa Sample: P = 2.32 GPa","American Mineralogist","2008","93","","177","186","10.2138/am.2008.2684","","","","","","","","","","","","","","","","","","","","","has coordinates","282068","2023-03-26","10:11:41",""
"1000017","4.7606","0.0005","4.7606","0.0005","12.994","0.001","90","","90","","120","","255","","","","","","","","","","","","","2","R -3 c :H","-R 3 2""c","167","","Aluminium oxide","Corundum","- Al2 O3 -","- Al2 O3 -","- Al12 O18 -","6","0.166667","","Tsirelson, V G; Antipin, M Y; Gerr, R G; Ozerov, R P; Struchkov, Y T","Ruby structure peculiarities derived from X-ray data. Localization of chromium atoms and electron deformation density","Physica Status Solidi, Sectio A: Applied Research","1985","87","","425","433","10.1002/pssa.2210870204","","","","","","0.063","","","","","","","","","","","","","","","has coordinates","303120","2025-10-31","16:24:54",""
"1000023","7.9296","0.0001","9.3275","0.0002","6.2555","0.0001","107.16","0.001","101.011","0.001","105.83","0.001","406.34","0.01","","","","","","","","","","","","4","P -1","-P 1","2","","","","- Cu3 Fe4 O24 P6 -","- Cu2.9376 Fe4 O24 P6 -","- Cu2.9376 Fe4 O24 P6 -","","","","","","","","","","","","","powder diffraction","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000026","3.085","","3.085","","3.523","","90","","90","","120","","29.04","","","","","","","","","","","","","2","P 6/m m m","-P 6 2","191","","","","- B2 Mg -","- B2 Mg -","- B2 Mg -","1","0.0416667","","","","J. Appl. Chem. USSR, engl. trans.","1971","44","","970","974","","","","","","","","","","","","","","","","","","","","","","has coordinates","176435","2020-10-21","18:00:00",""
"1000027","5.182","0.015","7.893","0.002","6.506","0.016","90","","90","","90","","266.1","","","","","","","","","","","","","3","C m c m","-C 2c 2","63","","Magnesium sulfate","","- Mg O4 S -","- Mg O4 S -","- Mg4 O16 S4 -","4","0.25","","Rentzeperis, P J; Soldatos, C T","The Crystal Structure of the Anhydrous Magnesium Sulfate","Acta Crystallographica (1,1948-23,1967)","1958","11","","686","688","10.1107/S0365110X58001857","","","","","","","","","","","","","","","","","","","","","has coordinates","130149","2020-10-21","18:00:00",""
